city,total
"Los Angeles",20
Houston,10
"San Francisco",9
Philadelphia,8
Roseville,7
Columbus,7
Troy,7
Chicago,5
"New York City",5
Wilmington,5
"New Albany",4
Minneapolis,3
Memphis,3
Rochester,3
Charlotte,3
"Fort Lauderdale",2
Phoenix,2
Seattle,2
"Fort Worth",2
Henderson,2
Fremont,2
Richardson,2
Eagan,2
Gilbert,2
Dover,2
Decatur,2
Aurora,2
Urbandale,2
Concord,1
Columbia,1
Springfield,1
Melbourne,1
Portland,1
"Saint Paul",1
Westland,1
Naperville,1
"Orland Park",1
Jackson,1
Madison,1
Bristol,1
Orem,1
Bloomington,1
Durham,1
"West Jordan",1
Independence,1
Pasadena,1
Newark,1
Franklin,1
